cust_id,acc_name,billin_city,billin_address_line1,billin_state,ship_state,ship_address_line1,ship_city,interest
3,shubham,kaliyabid,surat,gujarat,punjab,bokhira,surat,
4,dhaval,kaliyabid,jamnagar,punjab,delhi,bokhira,ahmedabad,
5,nishil,kaliyabid,ahmedabad,maharastra,delhi,shyamal,surat,
6,dhaval,kaliyabid,rajkot,gujarat,karnatak,shyamal,ahmedabad,
7,shubham,kaliyabid,surat,gujarat,punjab,sagwadi,surat,
16,vishal,kaliyabid,ahmedabad,rajasthan,punjab,sagwadi,rajkot,
18,dhaval,kaliyabid,jamnagar,maharastra,punjab,bokhira,ahmedabad,
20,shubham,kaliyabid,jamnagar,rajasthan,delhi,shyamal,rajkot,
22,nishil,chaaya,jamnagar,gujarat,karnatak,shyamal,rajkot,
24,vishal,chaaya,rajkot,maharastra,rajasthan,shyamal,rajkot,
27,vishal,chaaya,jamnagar,rajasthan,punjab,shyamal,ahmedabad,
29,dhaval,bokhira,rajkot,maharastra,rajasthan,sagwadi,jamnagar,
37,vishal,bokhira,ahmedabad,rajasthan,rajasthan,kaliyabid,ahmedabad,
44,dhaval,kaliyabid,ahmedabad,gujarat,karnatak,kaliyabid,surat,
45,dhaval,shyamal,jamnagar,gujarat,karnatak,sagwadi,jamnagar,
52,dhaval,kaliyabid,ahmedabad,punjab,delhi,shyamal,rajkot,
54,shubham,shyamal,rajkot,rajasthan,karnatak,shyamal,ahmedabad,
59,shubham,shyamal,jamnagar,punjab,punjab,kaliyabid,jamnagar,
68,nishil,shyamal,ahmedabad,punjab,punjab,sagwadi,surat,
73,vishal,bokhira,jamnagar,maharastra,punjab,sagwadi,surat,
80,nishil,kaliyabid,ahmedabad,gujarat,rajasthan,sagwadi,rajkot,
82,shubham,bokhira,surat,punjab,rajasthan,bokhira,surat,
85,dhaval,shyamal,ahmedabad,punjab,punjab,kaliyabid,jamnagar,
87,dhaval,bokhira,rajkot,gujarat,karnatak,sagwadi,surat,
94,dhaval,chaaya,ahmedabad,punjab,rajasthan,kaliyabid,jamnagar,
95,nishil,bokhira,jamnagar,gujarat,rajasthan,bokhira,surat,
